"codele";"codtse";"data";"hora";"apuracao";"turno";"divulgação";"ncand";"nomeurna";"partido";"votosabs";"votosporc";"situacao";"cargo";"uf";"codibge";"regiao";"ano";"nomemun"
"426";"01007";"15/11/2020";"21:14:49";"100,00";"1";"oficial";"77";"MISSIONARIA FABRICIA";"SOLIDARIEDADE";"431";"6,11";"NAO ELEITO";"prefeito";"AC";"1200138";"N";"2020";"BUJARI"
"426";"01007";"15/11/2020";"21:14:49";"100,00";"1";"oficial";"12";"PADEIRO";"PDT";"3386";"48,02";"ELEITO";"prefeito";"AC";"1200138";"N";"2020";"BUJARI"
"426";"01007";"15/11/2020";"21:14:49";"100,00";"1";"oficial";"40";"JACARE";"PSB";"735";"10,42";"NAO ELEITO";"prefeito";"AC";"1200138";"N";"2020";"BUJARI"
"426";"01007";"15/11/2020";"21:14:49";"100,00";"1";"oficial";"13";"ORLANDO DINIZ";"PT";"188";"2,67";"NAO ELEITO";"prefeito";"AC";"1200138";"N";"2020";"BUJARI"
"426";"01007";"15/11/2020";"21:14:49";"100,00";"1";"oficial";"11";"ROMUALDO ARAUJO";"PP";"2311";"32,78";"NAO ELEITO";"prefeito";"AC";"1200138";"N";"2020";"BUJARI"
"426";"01015";"15/11/2020";"20:36:15";"100,00";"1";"oficial";"13";"SERRARIA";"PT";"1228";"20,82";"NAO ELEITO";"prefeito";"AC";"1200179";"N";"2020";"CAPIXABA"
"426";"01015";"15/11/2020";"20:36:15";"100,00";"1";"oficial";"25";"MANOEL MAIA";"DEM";"2627";"44,55";"ELEITO";"prefeito";"AC";"1200179";"N";"2020";"CAPIXABA"
"426";"01015";"15/11/2020";"20:36:15";"100,00";"1";"oficial";"14";"ENFERMEIRO LAMARTINE";"PTB";"724";"12,28";"NAO ELEITO";"prefeito";"AC";"1200179";"N";"2020";"CAPIXABA"
"426";"01015";"15/11/2020";"20:36:15";"100,00";"1";"oficial";"15";"JOAOZINHO";"MDB";"1318";"22,35";"NAO ELEITO";"prefeito";"AC";"1200179";"N";"2020";"CAPIXABA"
"426";"01023";"15/11/2020";"21:03:54";"100,00";"1";"oficial";"17";"BALAL GOMES";"PSL";"169";"1,77";"NAO ELEITO";"prefeito";"AC";"1200807";"N";"2020";"PORTO ACRE"
"426";"01023";"15/11/2020";"21:03:54";"100,00";"1";"oficial";"15";"ZE MARIA";"MDB";"2761";"28,97";"NAO ELEITO";"prefeito";"AC";"1200807";"N";"2020";"PORTO ACRE"
"426";"01023";"15/11/2020";"21:03:54";"100,00";"1";"oficial";"10";"BARAOZINHO";"REPUBLICANOS";"1063";"11,15";"NAO ELEITO";"prefeito";"AC";"1200807";"N";"2020";"PORTO ACRE"
"426";"01023";"15/11/2020";"21:03:54";"100,00";"1";"oficial";"11";"BENE DAMASCENO";"PP";"5415";"56,81";"ELEITO";"prefeito";"AC";"1200807";"N";"2020";"PORTO ACRE"
"426";"01023";"15/11/2020";"21:03:54";"100,00";"1";"oficial";"40";"MOACIR NOGUEIRA";"PSB";"123";"1,29";"NAO ELEITO";"prefeito";"AC";"1200807";"N";"2020";"PORTO ACRE"
"426";"01031";"15/11/2020";"21:30:01";"100,00";"1";"oficial";"90";"ODEIZA GOMES";"PROS";"94";"3,28";"NA";"prefeito";"AC";"1200435";"N";"2020";"SANTA ROSA DO PURUS"
"426";"01031";"15/11/2020";"21:30:01";"100,00";"1";"oficial";"45";"ALDO MOURA";"PSDB";"579";"20,20";"NA";"prefeito";"AC";"1200435";"N";"2020";"SANTA ROSA DO PURUS"
"426";"01031";"15/11/2020";"21:30:01";"100,00";"1";"oficial";"15";"TAMIR DE SA";"MDB";"1156";"40,32";"NA";"prefeito";"AC";"1200435";"N";"2020";"SANTA ROSA DO PURUS"
"426";"01031";"15/11/2020";"21:30:01";"100,00";"1";"oficial";"11";"ASSIS MOURA";"PP";"1016";"35,44";"NA";"prefeito";"AC";"1200435";"N";"2020";"SANTA ROSA DO PURUS"
"426";"01040";"17/11/2020";"09:23:05";"100,00";"1";"oficial";"13";"CARLENE DE SA";"PT";"3303";"39,45";"NAO ELEITO";"prefeito";"AC";"1200351";"N";"2020";"MARECHAL THAUMATURGO"
"426";"01040";"17/11/2020";"09:23:05";"100,00";"1";"oficial";"55";"ISAAC PIYAKO";"PSD";"4521";"53,99";"ELEITO";"prefeito";"AC";"1200351";"N";"2020";"MARECHAL THAUMATURGO"
"426";"01040";"17/11/2020";"09:23:05";"100,00";"1";"oficial";"90";"SILVANO QUEIROZ";"PROS";"549";"6,56";"NAO ELEITO";"prefeito";"AC";"1200351";"N";"2020";"MARECHAL THAUMATURGO"
"426";"01058";"15/11/2020";"21:07:17";"100,00";"1";"oficial";"13";"FERNANDA HASSEM";"PT";"7651";"59,46";"ELEITO";"prefeito";"AC";"1200104";"N";"2020";"BRASILEIA"
"426";"01058";"15/11/2020";"21:07:17";"100,00";"1";"oficial";"45";"MANOEL PRETE";"PSDB";"627";"4,87";"NAO ELEITO";"prefeito";"AC";"1200104";"N";"2020";"BRASILEIA"
"426";"01058";"15/11/2020";"21:07:17";"100,00";"1";"oficial";"15";"LEILA GALVAO";"MDB";"4590";"35,67";"NAO ELEITO";"prefeito";"AC";"1200104";"N";"2020";"BRASILEIA"
"426";"01066";"17/11/2020";"09:28:49";"100,00";"1";"oficial";"90";"ARNOLDO LIMA";"PROS";"2012";"37,10";"NAO ELEITO";"prefeito";"AC";"1200393";"N";"2020";"PORTO WALTER"
"426";"01066";"17/11/2020";"09:28:49";"100,00";"1";"oficial";"15";"CESAR ANDRADE";"MDB";"3411";"62,90";"ELEITO";"prefeito";"AC";"1200393";"N";"2020";"PORTO WALTER"
"426";"01074";"16/11/2020";"08:18:06";"100,00";"1";"oficial";"17";"SARGENTO ADONIS";"PSL";"9077";"21,35";"NAO ELEITO";"prefeito";"AC";"1200203";"N";"2020";"CRUZEIRO DO SUL"
"426";"01074";"16/11/2020";"08:18:06";"100,00";"1";"oficial";"11";"ZEQUINHA LIMA";"PP";"18766";"44,15";"ELEITO";"prefeito";"AC";"1200203";"N";"2020";"CRUZEIRO DO SUL"
"426";"01074";"16/11/2020";"08:18:06";"100,00";"1";"oficial";"15";"FAGNER SALES";"MDB";"14666";"34,50";"NAO ELEITO";"prefeito";"AC";"1200203";"N";"2020";"CRUZEIRO DO SUL"
"426";"01082";"17/11/2020";"09:39:13";"100,00";"1";"oficial";"14";"DR EMERSON";"PTB";"343";"3,82";"NAO ELEITO";"prefeito";"AC";"1200427";"N";"2020";"RODRIGUES ALVES"
"426";"01082";"17/11/2020";"09:39:13";"100,00";"1";"oficial";"13";"BURICA";"PT";"2340";"26,08";"NAO ELEITO";"prefeito";"AC";"1200427";"N";"2020";"RODRIGUES ALVES"
"426";"01082";"17/11/2020";"09:39:13";"100,00";"1";"oficial";"11";"DEMETRIO LIVAS";"PP";"307";"3,42";"NAO ELEITO";"prefeito";"AC";"1200427";"N";"2020";"RODRIGUES ALVES"
"426";"01082";"17/11/2020";"09:39:13";"100,00";"1";"oficial";"90";"JAILSON AMORIM";"PROS";"5977";"66,63";"ELEITO";"prefeito";"AC";"1200427";"N";"2020";"RODRIGUES ALVES"
"426";"01082";"17/11/2020";"09:39:13";"100,00";"1";"oficial";"50";"JAILSON EUGENIO";"PSOL";"4";"0,04";"NAO ELEITO";"prefeito";"AC";"1200427";"N";"2020";"RODRIGUES ALVES"
"426";"01090";"16/11/2020";"17:52:33";"100,00";"1";"oficial";"13";"ISAAC LIMA";"PT";"4115";"54,32";"ELEITO";"prefeito";"AC";"1200336";"N";"2020";"MANCIO LIMA"
"426";"01090";"16/11/2020";"17:52:33";"100,00";"1";"oficial";"15";"CHICAO";"MDB";"3460";"45,68";"NAO ELEITO";"prefeito";"AC";"1200336";"N";"2020";"MANCIO LIMA"
"426";"01104";"16/11/2020";"08:46:48";"100,00";"1";"oficial";"13";"PROFESSORA NAGELA";"PT";"915";"21,86";"NAO ELEITO";"prefeito";"AC";"1200328";"N";"2020";"JORDAO"
"426";"01104";"16/11/2020";"08:46:48";"100,00";"1";"oficial";"65";"MARCEL RITHER";"PCdoB";"768";"18,35";"NAO ELEITO";"prefeito";"AC";"1200328";"N";"2020";"JORDAO"
"426";"01104";"16/11/2020";"08:46:48";"100,00";"1";"oficial";"15";"ZEINA MELO";"MDB";"1053";"25,16";"NAO ELEITO";"prefeito";"AC";"1200328";"N";"2020";"JORDAO"
"426";"01104";"16/11/2020";"08:46:48";"100,00";"1";"oficial";"22";"JOAO DA MANGUABA";"PL";"186";"4,44";"NAO ELEITO";"prefeito";"AC";"1200328";"N";"2020";"JORDAO"
"426";"01104";"16/11/2020";"08:46:48";"100,00";"1";"oficial";"12";"NAUDO RIBEIRO";"PDT";"1264";"30,20";"ELEITO";"prefeito";"AC";"1200328";"N";"2020";"JORDAO"
"426";"01112";"15/11/2020";"20:39:27";"100,00";"1";"oficial";"11";"TIAO FLORES";"PP";"741";"8,20";"NAO ELEITO";"prefeito";"AC";"1200252";"N";"2020";"EPITACIOLANDIA"
"426";"01112";"15/11/2020";"20:39:27";"100,00";"1";"oficial";"17";"EVERTON SOARES";"PSL";"3328";"36,83";"NAO ELEITO";"prefeito";"AC";"1200252";"N";"2020";"EPITACIOLANDIA"
"426";"01112";"15/11/2020";"20:39:27";"100,00";"1";"oficial";"45";"DELEGADO SERGIO LOPES";"PSDB";"3984";"44,09";"ELEITO";"prefeito";"AC";"1200252";"N";"2020";"EPITACIOLANDIA"
"426";"01112";"15/11/2020";"20:39:27";"100,00";"1";"oficial";"13";"NEIDE LOPES";"PT";"983";"10,88";"NAO ELEITO";"prefeito";"AC";"1200252";"N";"2020";"EPITACIOLANDIA"
"426";"01120";"15/11/2020";"21:58:14";"100,00";"1";"oficial";"11";"CAETANO";"PP";"2405";"35,11";"NAO ELEITO";"prefeito";"AC";"1200013";"N";"2020";"ACRELANDIA"
"426";"01120";"15/11/2020";"21:58:14";"100,00";"1";"oficial";"12";"HADAMES WILSON";"PDT";"1237";"18,06";"NAO ELEITO";"prefeito";"AC";"1200013";"N";"2020";"ACRELANDIA"
"426";"01120";"15/11/2020";"21:58:14";"100,00";"1";"oficial";"15";"OLAVINHO";"MDB";"2638";"38,52";"ELEITO";"prefeito";"AC";"1200013";"N";"2020";"ACRELANDIA"
"426";"01120";"15/11/2020";"21:58:14";"100,00";"1";"oficial";"90";"ROSA DO EURICO";"PROS";"569";"8,31";"NAO ELEITO";"prefeito";"AC";"1200013";"N";"2020";"ACRELANDIA"
"426";"01139";"16/11/2020";"09:12:34";"100,00";"1";"oficial";"15";"FRANCIMAR FERNANDES";"MDB";"5716";"36,89";"NAO ELEITO";"prefeito";"AC";"1200302";"N";"2020";"FEIJO"
"426";"01139";"16/11/2020";"09:12:34";"100,00";"1";"oficial";"13";"MAURO DEFESON";"PT";"706";"4,56";"NAO ELEITO";"prefeito";"AC";"1200302";"N";"2020";"FEIJO"
"426";"01139";"16/11/2020";"09:12:34";"100,00";"1";"oficial";"17";"GERSON MEIRELES";"PSL";"546";"3,52";"NAO ELEITO";"prefeito";"AC";"1200302";"N";"2020";"FEIJO"
"426";"01139";"16/11/2020";"09:12:34";"100,00";"1";"oficial";"11";"KIEFER CAVALCANTE";"PP";"8528";"55,03";"ELEITO";"prefeito";"AC";"1200302";"N";"2020";"FEIJO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"70";"JARBAS SOSTER";"AVANTE";"2294";"1,29";"NAO ELEITO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"13";"DANIEL ZEN";"PT";"7121";"4,01";"NAO ELEITO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"11";"TIAO BOCALOM";"PP";"87987";"49,58";"2O TURNO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"45";"MINORU KINPARA";"PSDB";"25939";"14,62";"NAO ELEITO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"20";"JAMYL ASFURY";"PSC";"1509";"0,85";"NAO ELEITO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"15";"ROBERTO DUARTE";"MDB";"12362";"6,97";"NAO ELEITO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01392";"15/11/2020";"21:04:04";"100,00";"1";"oficial";"40";"SOCORRO NERI";"PSB";"40250";"22,68";"2O TURNO";"prefeito";"AC";"1200401";"N";"2020";"RIO BRANCO"
"426";"01457";"15/11/2020";"20:15:15";"100,00";"1";"oficial";"11";"GERLEN DINIZ";"PP";"9329";"43,37";"NAO ELEITO";"prefeito";"AC";"1200500";"N";"2020";"SENA MADUREIRA"
"426";"01457";"15/11/2020";"20:15:15";"100,00";"1";"oficial";"15";"MAZINHO SERAFIM";"MDB";"12183";"56,63";"ELEITO";"prefeito";"AC";"1200500";"N";"2020";"SENA MADUREIRA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"15";"JUNIOR FEITOSA";"MDB";"3634";"19,58";"NAO ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"12";"MARIA LUCINEIA";"PDT";"5461";"29,42";"ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"14";"R SETE";"PTB";"57";"0,31";"NAO ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"25";"ABDIAS DA FARMACIA";"DEM";"4650";"25,05";"NAO ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"65";"BATISTA";"PCdoB";"4480";"24,14";"NAO ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01473";"16/11/2020";"07:47:45";"100,00";"1";"oficial";"50";"PROFESSOR BASTO VIANA";"PSOL";"280";"1,51";"NAO ELEITO";"prefeito";"AC";"1200609";"N";"2020";"TARAUACA"
"426";"01490";"15/11/2020";"20:38:38";"100,00";"1";"oficial";"15";"CARLOS VENICIUS";"MDB";"1443";"16,40";"NAO ELEITO";"prefeito";"AC";"1200708";"N";"2020";"XAPURI"
"426";"01490";"15/11/2020";"20:38:38";"100,00";"1";"oficial";"11";"CARLA MENDONCA";"PP";"2338";"26,58";"NAO ELEITO";"prefeito";"AC";"1200708";"N";"2020";"XAPURI"
"426";"01490";"15/11/2020";"20:38:38";"100,00";"1";"oficial";"13";"BIRA VASCONCELOS";"PT";"3815";"43,37";"ELEITO";"prefeito";"AC";"1200708";"N";"2020";"XAPURI"
"426";"01490";"15/11/2020";"20:38:38";"100,00";"1";"oficial";"55";"GESSI CAPELAO";"PSD";"1201";"13,65";"NAO ELEITO";"prefeito";"AC";"1200708";"N";"2020";"XAPURI"
"426";"01511";"15/11/2020";"22:02:23";"100,00";"1";"oficial";"17";"DOUTORA JOANA D&apos;ARC";"PSL";"94";"1,00";"NAO ELEITO";"prefeito";"AC";"1200385";"N";"2020";"PLACIDO DE CASTRO"
"426";"01511";"15/11/2020";"22:02:23";"100,00";"1";"oficial";"45";"GEDEON BARROS";"PSDB";"2800";"29,75";"NAO ELEITO";"prefeito";"AC";"1200385";"N";"2020";"PLACIDO DE CASTRO"
"426";"01511";"15/11/2020";"22:02:23";"100,00";"1";"oficial";"55";"CAMILO DA SILVA";"PSD";"3838";"40,78";"ELEITO";"prefeito";"AC";"1200385";"N";"2020";"PLACIDO DE CASTRO"
"426";"01511";"15/11/2020";"22:02:23";"100,00";"1";"oficial";"15";"TAVARES";"MDB";"2679";"28,47";"NAO ELEITO";"prefeito";"AC";"1200385";"N";"2020";"PLACIDO DE CASTRO"
"426";"01538";"15/11/2020";"22:10:29";"100,00";"1";"oficial";"77";"GILSON DA FUNERARIA";"SOLIDARIEDADE";"3993";"29,32";"NAO ELEITO";"prefeito";"AC";"1200450";"N";"2020";"SENADOR GUIOMARD"
"426";"01538";"15/11/2020";"22:10:29";"100,00";"1";"oficial";"45";"BRANCA MENEZES";"PSDB";"1662";"12,20";"NAO ELEITO";"prefeito";"AC";"1200450";"N";"2020";"SENADOR GUIOMARD"
"426";"01538";"15/11/2020";"22:10:29";"100,00";"1";"oficial";"11";"ROSANA GOMES";"PP";"4428";"32,52";"ELEITO";"prefeito";"AC";"1200450";"N";"2020";"SENADOR GUIOMARD"
"426";"01538";"15/11/2020";"22:10:29";"100,00";"1";"oficial";"17";"JOAO CARVALHO";"PSL";"263";"1,93";"NAO ELEITO";"prefeito";"AC";"1200450";"N";"2020";"SENADOR GUIOMARD"
"426";"01538";"15/11/2020";"22:10:29";"100,00";"1";"oficial";"15";"ANDRE MAIA";"MDB";"3272";"24,03";"NAO ELEITO";"prefeito";"AC";"1200450";"N";"2020";"SENADOR GUIOMARD"
"426";"01554";"15/11/2020";"20:16:10";"100,00";"1";"oficial";"15";"TANIZO SA";"MDB";"3082";"57,12";"ELEITO";"prefeito";"AC";"1200344";"N";"2020";"MANOEL URBANO"
"426";"01554";"15/11/2020";"20:16:10";"100,00";"1";"oficial";"55";"PASTOR ALDEMAR";"PSD";"2314";"42,88";"NAO ELEITO";"prefeito";"AC";"1200344";"N";"2020";"MANOEL URBANO"
"426";"01570";"15/11/2020";"21:00:50";"100,00";"1";"oficial";"45";"ZUM";"PSDB";"964";"20,23";"NAO ELEITO";"prefeito";"AC";"1200054";"N";"2020";"ASSIS BRASIL"
"426";"01570";"15/11/2020";"21:00:50";"100,00";"1";"oficial";"15";"JOAO JUNIOR";"MDB";"387";"8,12";"NAO ELEITO";"prefeito";"AC";"1200054";"N";"2020";"ASSIS BRASIL"
"426";"01570";"15/11/2020";"21:00:50";"100,00";"1";"oficial";"13";"PROFESSOR JERRY";"PT";"1583";"33,22";"ELEITO";"prefeito";"AC";"1200054";"N";"2020";"ASSIS BRASIL"
"426";"01570";"15/11/2020";"21:00:50";"100,00";"1";"oficial";"55";"ZE DO POSTO";"PSD";"1082";"22,71";"NAO ELEITO";"prefeito";"AC";"1200054";"N";"2020";"ASSIS BRASIL"
"426";"01570";"15/11/2020";"21:00:50";"100,00";"1";"oficial";"65";"PILIQUE";"PCdoB";"749";"15,72";"NAO ELEITO";"prefeito";"AC";"1200054";"N";"2020";"ASSIS BRASIL"
"426";"27006";"15/11/2020";"22:16:58";"100,00";"1";"oficial";"14";"VANIO MIL COISAS";"PTB";"3798";"46,53";"NAO ELEITO";"prefeito";"AL";"2706448";"NE";"2020";"PARIPUEIRA"
"426";"27006";"15/11/2020";"22:16:58";"100,00";"1";"oficial";"25";"ABRAHAO MOURA";"DEM";"4364";"53,47";"ELEITO";"prefeito";"AL";"2706448";"NE";"2020";"PARIPUEIRA"
"426";"27014";"15/11/2020";"22:40:24";"100,00";"1";"oficial";"15";"MARCELO DORINHA";"MDB";"3198";"29,04";"NAO ELEITO";"prefeito";"AL";"2700102";"NE";"2020";"AGUA BRANCA"
"426";"27014";"15/11/2020";"22:40:24";"100,00";"1";"oficial";"55";"PAULO CAMPOS";"PSD";"1173";"10,65";"NAO ELEITO";"prefeito";"AL";"2700102";"NE";"2020";"AGUA BRANCA"
"426";"27014";"15/11/2020";"22:40:24";"100,00";"1";"oficial";"17";"ADRIANA ZUZA";"PSL";"698";"6,34";"NAO ELEITO";"prefeito";"AL";"2700102";"NE";"2020";"AGUA BRANCA"
"426";"27014";"15/11/2020";"22:40:24";"100,00";"1";"oficial";"11";"ZE CARLOS";"PP";"5943";"53,97";"ELEITO";"prefeito";"AL";"2700102";"NE";"2020";"AGUA BRANCA"
"426";"27022";"15/11/2020";"22:41:08";"100,00";"1";"oficial";"15";"ALVONI FEITOSA";"MDB";"2476";"37,01";"NAO ELEITO";"prefeito";"AL";"2706422";"NE";"2020";"PARICONHA"
"426";"27022";"15/11/2020";"22:41:08";"100,00";"1";"oficial";"11";"TONY DE CAMPINHOS";"PP";"4095";"61,21";"ELEITO";"prefeito";"AL";"2706422";"NE";"2020";"PARICONHA"
"426";"27022";"15/11/2020";"22:41:08";"100,00";"1";"oficial";"65";"NINA CACIQUE";"PCdoB";"119";"1,78";"NAO ELEITO";"prefeito";"AL";"2706422";"NE";"2020";"PARICONHA"
"426";"27030";"16/11/2020";"00:33:15";"100,00";"1";"oficial";"11";"CELINO ROCHA";"PP";"5456";"60,19";"ELEITO";"prefeito";"AL";"2700201";"NE";"2020";"ANADIA"
"426";"27030";"16/11/2020";"00:33:15";"100,00";"1";"oficial";"15";"PAULO DAMASO";"MDB";"3504";"38,66";"NAO ELEITO";"prefeito";"AL";"2700201";"NE";"2020";"ANADIA"
"426";"27030";"16/11/2020";"00:33:15";"100,00";"1";"oficial";"90";"ANDERSON PROMOFESTA";"PROS";"104";"1,15";"NAO ELEITO";"prefeito";"AL";"2700201";"NE";"2020";"ANADIA"
"426";"27049";"15/11/2020";"20:07:09";"100,00";"1";"oficial";"14";"JAMES RIBEIRO";"PTB";"3019";"38,77";"NAO ELEITO";"prefeito";"AL";"2702553";"NE";"2020";"ESTRELA DE ALAGOAS"
"426";"27049";"15/11/2020";"20:07:09";"100,00";"1";"oficial";"11";"ALDO LIRA";"PP";"4767";"61,23";"ELEITO";"prefeito";"AL";"2702553";"NE";"2020";"ESTRELA DE ALAGOAS"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"10";"FABIANA PESSOA";"REPUBLICANOS";"20874";"19,22";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"77";"GILVANIA BARROS";"SOLIDARIEDADE";"7021";"6,47";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"23";"HECTOR MARTINS";"CIDADANIA";"2101";"1,93";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"51";"CLAUDIO CANUTO";"PATRIOTA";"2517";"2,32";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"15";"LUCIANO BARBOSA";"MDB";"59249";"54,56";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"11";"TARCIZO FREIRE";"PP";"16376";"15,08";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27057";"15/11/2020";"22:23:34";"100,00";"1";"oficial";"50";"LINDOMAR FERREIRA";"PSOL";"460";"0,42";"NAO ELEITO";"prefeito";"AL";"2700300";"NE";"2020";"ARAPIRACA"
"426";"27065";"15/11/2020";"22:30:52";"100,00";"1";"oficial";"40";"NENO PACHECO";"PSB";"125";"1,92";"NAO ELEITO";"prefeito";"AL";"2703759";"NE";"2020";"JEQUIA DA PRAIA"
"426";"27065";"15/11/2020";"22:30:52";"100,00";"1";"oficial";"10";"JEANNYNE BELTRAO";"REPUBLICANOS";"2604";"39,97";"NAO ELEITO";"prefeito";"AL";"2703759";"NE";"2020";"JEQUIA DA PRAIA"
"426";"27065";"15/11/2020";"22:30:52";"100,00";"1";"oficial";"45";"CLOVIS TORRES";"PSDB";"178";"2,73";"NAO ELEITO";"prefeito";"AL";"2703759";"NE";"2020";"JEQUIA DA PRAIA"
"426";"27065";"15/11/2020";"22:30:52";"100,00";"1";"oficial";"11";"FELIPE JATOBA";"PP";"3608";"55,38";"ELEITO";"prefeito";"AL";"2703759";"NE";"2020";"JEQUIA DA PRAIA"
"426";"27073";"15/11/2020";"22:20:31";"100,00";"1";"oficial";"15";"CHICO VIGARIO";"MDB";"8198";"36,53";"NAO ELEITO";"prefeito";"AL";"2700409";"NE";"2020";"ATALAIA"
"426";"27073";"15/11/2020";"22:20:31";"100,00";"1";"oficial";"19";"JOTA JEO";"PODE";"41";"0,18";"NAO ELEITO";"prefeito";"AL";"2700409";"NE";"2020";"ATALAIA"
"426";"27073";"15/11/2020";"22:20:31";"100,00";"1";"oficial";"13";"PROFESSOR LESSO";"PT";"147";"0,65";"NAO ELEITO";"prefeito";"AL";"2700409";"NE";"2020";"ATALAIA"
"426";"27073";"15/11/2020";"22:20:31";"100,00";"1";"oficial";"20";"CECI ROCHA";"PSC";"14057";"62,63";"ELEITO";"prefeito";"AL";"2700409";"NE";"2020";"ATALAIA"
"426";"27081";"15/11/2020";"23:50:02";"100,00";"1";"oficial";"15";"PINO";"MDB";"2945";"70,17";"ELEITO";"prefeito";"AL";"2701357";"NE";"2020";"CAMPESTRE"
"426";"27081";"15/11/2020";"23:50:02";"100,00";"1";"oficial";"33";"DENINHO";"PMN";"1252";"29,83";"NAO ELEITO";"prefeito";"AL";"2701357";"NE";"2020";"CAMPESTRE"
