"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"55";"GERSON MAIA";"PSD";"299";"   1,57";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"70";"MAURÍCIO DIBAS";"AVANTE";"455";"   2,40";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"13";"PROFA LILIAN";"PT";"400";"   2,11";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"43";"DRA TAISSA SOUSA";"PV - PROS / PSC / PV";"3463";"  18,24";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"51";"JOAO SOARES";"PATRIOTA - PATRIOTA / PDT";"4284";"  22,56";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"40";"DR AURISON FLORENTINO";"PSB";"908";"   4,78";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"17";"CAÇADOR";"PSL";"926";"   4,88";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"10";"VIRGILIO GOMES";"REPUBLICANOS";"3167";"  16,68";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"15";"RAISSA BENTO";"MDB - PODE / MDB / PSDB";"4575";"  24,09";"Eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00019";"15/11/2020";"21:45:01";" 100,00";"1";"o";"22";"NAIFE";"PL";"511";"   2,69";"Não eleito";"prefeito";"1100106";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"14";"LEONEL BERTOLIN";"PTB - PTB / DC";"1624";"   0,74";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"11";"CRISTIANE LOPES";"PP - PP / PROS";"31461";"  14,32";"2º turno";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"77";"CORONEL RONALDO FLORES";"SOLIDARIEDADE - SOLIDARIEDADE / PV / PSB / PMN";"16750";"   7,62";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"50";"PIMENTA DE RONDÔNIA";"PSOL";"1180";"   0,54";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"28";"PASTOR LEONARDO LUZ";"PRTB";"741";"   0,34";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"65";"SAMUEL COSTA";"PC do B";"1229";"   0,56";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"23";"VINICIUS MIGUEL";"CIDADANIA - CIDADANIA / REDE / PDT";"29369";"  13,36";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"17";"SARGENTO EYDER BRASIL";"PSL";"5620";"   2,56";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"10";"LINDOMAR GARÇON";"REPUBLICANOS";"12061";"   5,49";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"13";"RAMON CUJUI";"PT";"7069";"   3,22";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"45";"HILDON CHAVES";"PSDB - PSD / PL / PSDB / DEM";"74728";"  34,01";"2º turno";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"20";"EDVALDO SOARES";"PSC";"4154";"   1,89";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"15";"PIMENTEL";"MDB";"8195";"   3,73";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"70";"DR. BRENO MENDES";"AVANTE - PATRIOTA / AVANTE";"25270";"  11,50";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
"426";"00035";"15/11/2020";"21:38:49";" 100,00";"1";"o";"16";"GENECI GONÇALVES";"PSTU";"298";"   0,14";"Não eleito";"prefeito";"1100205";"RO";"N";2020-11-16 17:49:55
